Id;Designator;Package;Quantity;Designation;electrokit.se #
1;SW1;Rotary encoder with switch EC-11;1;EC11;
2;H4,H3,H2,H1;Mounting hole 3.2mm;4;MountingHole_Pad;
3;R22,R21,R31,R30,R23,R18,R17,R14,R13,R11;Resistor;10;10k;40810410
4;C14,C13,C4;Ceramic disc capacitor;3;100n;41003038
5;C1;Ceramic capacitor multilayer;1;1000p;41011994
6;J4;3-pad SMD test pad;1;3-pin_test_header;
7;U1;ST7735 1.8” OLED display with 8-pin female header;1;"ST7735_1.8""_TFT_128x160";
8;Y1;Crystal HC49-4H;1;8MHz;40420008
9;UR1;Precision references TO-92;1;TL431LP;40350431
10;UC1;Voltage regulator TO-92;1;L78L05;40350036
11;U2;Atmega328P-PU with DIP-28 socket;1;ATmega328P-PU;40360328
12;TP6,TP5,TP4,TP3,TP2,TP1;Test jack 2mm;6;TestPoint;41010335
13;R27;Resistor;1;20k;40811420
14;R26;Resistor;1;179k45;
15;R25,R20;Resistor;2;2k2;40810322
16;R24;Resistor;1;220R;40810222
17;R19,R16;Resistor;2;1k;40810310
18;R15,R8;Resistor;2;27k;40810427
19;R12,R7;Resistor;2;3k3;40810333
20;R10;Resistor;1;33k;40810433
21;R9;Resistor;1;100k;40810510
22;R6,R4,R2;Resistor 1%;3;470k;40810547
23;R5,R3,R1;Resistor 1%;3;680R;40810268
24;Q3;Bipolar junction transistor TO-92 PNP;1;2N3906;40320005
25;Q2,Q1;Bipolar junction transistor TO-92 NPN;2;2N3904;40320004
26;JP1;Three pin jumper;1;Vext <50V, Zener < VCC;41003010
27;J3;3-pin female header;1;3-pin_test_header;41003010
28;J2;DC barrel jack;1;8-15VDC In;41002169
29;D2;LED 5mm;1;LED;40307025
30;D1;Schottky diode DO-35 SOD27;1;BAT43;40310043
31;,C12,C11,C3;Ceramic capacitor multilayer;4;100n;41016717
32;C10,C9;Aluminium electrolytic capacitor;2;10u;40520003
33;C7;Mylar capacitor PC05;1;10n 100V;40510006
34;C6,C5;Ceramic disc capacitor;2;22p;40500116
35;C2;Ceramic capacitor multilayer;1;10n;41017770
